2017-03-07 10:22:58 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:23:05 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:24:59 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:25:24 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:26:55 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:28:03 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:28:10 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:36:42 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:39:02 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:39:16 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:40:44 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:45:49 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:49:11 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:57:36 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 10:57:45 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 11:15:34 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 11:15:40 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
2017-03-07 11:15:42 [DEBUG] app\common\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/getApp
