2017-03-09 09:43:09 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 09:43:11 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 09:45:15 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 09:45:57 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:26:13 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:35:28 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:35:33 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:40:26 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:41:08 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:41:08 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:41:23 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:41:23 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:41:38 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:42:53 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:46:58 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:47:10 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:47:36 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
2017-03-09 10:47:55 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:50:56 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:51:16 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:57:23 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:sid0hb0n1bfehj5fm7vsdc41k7, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:58:36 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:58:47 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 10:58:50 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 11:01:19 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 11:01:29 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 11:01:30 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [GET] session_id:, this_url:http://tiny.app/api/VlssMgr/test?vlss_id=3
2017-03-09 11:10:35 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/workFunc
2017-03-09 11:10:42 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/syncTest
2017-03-09 11:10:44 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/syncTest
2017-03-09 11:10:47 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/asyncTest
2017-03-09 11:10:54 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/syncTest
2017-03-09 11:11:23 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/syncTest
2017-03-09 11:11:24 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/YarApiHub/syncTest
2017-03-09 12:13:59 [DEBUG] app\common\Dispatch\ApiDispatch::checkCsrfToken[172] CSRF ignore [POST] session_id:, this_url:http://tiny.app/api/VlssMgr/test
